URL,Arquivo,Linha,Texto,Contexto
"https://openbanking-brasil.github.io/openapi/swagger-apis/common/2.0.0-beta.1.yml","add/openfinance_markdown/API Comum/Informações Técnicas - API Comum - v2.0.0-beta.1.md",9,"Download da Especificação (OAS 3.0)","i/common-2.0.0.md)  ### Especificação em OAS 3.0  [Download da Especificação (OAS 3.0)](https://open"
"https://openbanking-brasil.github.io/openapi/swagger-apis/common/1.0.0-rc5.2.yml","add/openfinance_markdown/API Comum/old/Informações Técnicas - API Comum - v1.0.0-rc5.2.md",9,"Download da Especificação (OAS 3.0)","i/common-1.0.0.md)  ### Especificação em OAS 3.0  [Download da Especificação (OAS 3.0)](https://open"
"https://openbanking-brasil.github.io/openapi/swagger-apis/common/2.0.0-beta.2.yml","add/openfinance_markdown/API Comum (Discovery)/old/Informações Técnicas - API Comum (Discovery) - v2.0.0-beta.2.md",9,"Download da Especificação (OAS 3.0)","i/common-2.0.0.md)  ### Especificação em OAS 3.0  [Download da Especificação (OAS 3.0)](https://open"
"https://openbanking-brasil.github.io/openapi/swagger-apis/common/2.0.0-rc.1.yml","add/openfinance_markdown/API Comum (Discovery)/old/Informações Técnicas - API Comum (Discovery) - v2.0.0-rc.1.md",9,"Download da Especificação (OAS 3.0)","i/common-2.0.0.md)  ### Especificação em OAS 3.0  [Download da Especificação (OAS 3.0)](https://open"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/Informações Gerais - API Portabilidade de Crédito - v1.0.0-rc.1.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/old/Informações Gerais - API Portabilidade de Crédito - v1.0.0-beta.1.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/old/Informações Gerais - API Portabilidade de Crédito - v1.0.0-beta.2.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/old/Informações Gerais - API Portabilidade de Crédito - v1.0.0-beta.3.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/[PC] Portabilidade de Crédito CPC/Informações Gerais - [PC] Portabilidade de Crédito - CPC - v1.0.0.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityPostPortabilities_v1.0.0.csv","add/openfinance_markdown/_geral/Documentação Técnica - CPC.md",21,"Fazer download do dicionário de dados","ampos de resposta do endpoint de /portabilities.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityGetPortabilitiesByPortabilityId_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/Informações Gerais - API Portabilidade de Crédito - v1.0.0-rc.1.md",33,"Fazer download do dicionário de dados","a do endpoint de /portabilities/{portabilityId}.  [Fazer download do dicionário de dados](https://op"
"https://openbanking-brasil.github.io/openapi/dictionary/creditPortabilityGetPortabilitiesByPortabilityId_v1.0.0.csv","add/openfinance_markdown/API Portabilidade de Crédito/old/Informações Gerais - API Portabilidade de Crédito - v1.0.0-beta.1.md",33,"Fazer download do dicionário de dados","a do endpoint de /portabilities/{portabilityId}.  [Fazer download do dicionário de dados](https://op"
